"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.491783042E0,6.315806508E-2,-1.161011308E-1,1.801536083E-1,2.234362020E-1
2.501724042E0,4.310946167E-2,-9.492003918E-2,1.928669959E-1,2.192394071E-1
2.511665042E0,2.113545500E-2,-8.538805693E-2,1.999153197E-1,2.184123686E-1
2.521606042E0,-6.687481422E-3,-9.605681896E-2,2.098831683E-1,2.309168232E-1
2.531547042E0,-3.214064240E-2,-1.158172041E-1,2.226349115E-1,2.530078052E-1
2.541487042E0,-4.054722190E-2,-1.510824561E-1,2.426124662E-1,2.886707372E-1
2.551428042E0,-3.845371306E-2,-1.939617544E-1,2.633297145E-1,3.293059198E-1
2.561369042E0,-2.738837339E-2,-2.266964167E-1,2.907700539E-1,3.697142310E-1
2.571310042E0,3.305685893E-2,-2.638123631E-1,2.975563109E-1,3.990356839E-1
2.581251042E0,1.310947984E-1,-2.475631237E-1,2.856552899E-1,4.000903536E-1
2.591192042E0,2.176994681E-1,-2.214447111E-1,2.891091704E-1,4.242816646E-1
2.601133042E0,2.525829077E-1,-1.659033746E-1,2.968403995E-1,4.235991947E-1
2.611074042E0,2.304251343E-1,-8.364817500E-2,3.018426299E-1,3.888466702E-1
2.621015042E0,1.855918169E-1,-1.005411334E-2,2.998010814E-1,3.527408342E-1
2.630956042E0,1.538711637E-1,2.586793527E-2,2.878384292E-1,3.274086841E-1
2.640896042E0,1.423883736E-1,2.932786383E-2,2.643673718E-1,3.017029662E-1
2.650837042E0,1.549603641E-1,2.617689548E-3,2.406524420E-1,2.862396978E-1
2.660778042E0,1.809074730E-1,-4.235190153E-2,2.341156602E-1,2.988834885E-1
2.670719042E0,2.157179117E-1,-9.403320402E-2,2.235138714E-1,3.245534033E-1
2.680660042E0,2.616415918E-1,-1.286491603E-1,2.146439254E-1,3.620482616E-1
2.690601042E0,2.963249981E-1,-1.512500793E-1,2.140716314E-1,3.956156650E-1
2.700542042E0,3.245467842E-1,-1.597889662E-1,2.077679336E-1,4.171698012E-1
2.710483042E0,3.231781721E-1,-1.587482095E-1,1.952939332E-1,4.096154847E-1
2.720424042E0,2.976116836E-1,-1.769044250E-1,1.723240167E-1,3.867343488E-1
2.730364042E0,2.535118759E-1,-1.911062598E-1,1.435227394E-1,3.484087405E-1
2.740305042E0,2.090481967E-1,-1.969766021E-1,1.084369570E-1,3.070171069E-1
2.750246042E0,1.625621915E-1,-1.855473816E-1,7.717490941E-2,2.584768144E-1
2.760187042E0,1.129598171E-1,-1.762057245E-1,5.379164219E-2,2.161062664E-1
2.770128042E0,6.529057026E-2,-1.542796493E-1,4.122551531E-2,1.725242355E-1
2.780069042E0,1.118773408E-2,-1.382604837E-1,5.014255270E-2,1.474971266E-1
2.790010042E0,-1.590992883E-2,-1.443825662E-1,5.231995136E-2,1.543918022E-1
2.799951042E0,1.285748836E-2,-1.351061761E-1,4.713543132E-2,1.436688648E-1
2.809891042E0,5.067730322E-2,-1.003846824E-1,5.406764150E-2,1.247741295E-1
2.819832042E0,6.001758948E-2,-7.194670290E-2,7.341831177E-2,1.190322965E-1
2.829773292E0,6.847286224E-2,-4.937241971E-2,8.966519684E-2,1.231503805E-1
2.839714292E0,7.606467605E-2,-4.568430036E-2,9.996150434E-2,1.336607369E-1
