"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.814950500E0,8.963510284E0,-2.807411957E0,3.154689789E0,9.908488592E0
1.824892500E0,9.017398224E0,-2.933749237E0,3.234623566E0,1.001913893E1
1.834833500E0,9.113797760E0,-3.017275543E0,3.486849060E0,1.021388162E1
1.844775500E0,9.139244843E0,-2.862048340E0,3.613485718E0,1.023593650E1
1.854716500E0,9.145082703E0,-2.755619659E0,3.759881287E0,1.026463271E1
1.864658500E0,9.077722778E0,-2.788700867E0,3.686683502E0,1.018692979E1
1.874599500E0,9.089697876E0,-2.736459503E0,3.591182098E0,1.014925647E1
1.884541500E0,9.096433868E0,-2.747835846E0,3.456761627E0,1.011162261E1
1.894482500E0,9.118288422E0,-2.779719543E0,3.299438782E0,1.008743380E1
1.904423500E0,9.149573364E0,-2.789000244E0,3.279230804E0,1.011170459E1
1.914365500E0,9.104816437E0,-2.727927246E0,3.367397461E0,1.008358245E1
1.924306500E0,9.129365387E0,-2.769690399E0,3.469036102E0,1.015138950E1
1.934248500E0,9.094936981E0,-2.918480988E0,3.407364349E0,1.014127910E1
1.944189500E0,8.995992737E0,-3.237317963E0,3.366499329E0,1.013614476E1
1.954131500E0,8.821755066E0,-3.312312012E0,3.346590729E0,9.999722137E0
1.964072500E0,8.876391449E0,-3.199746094E0,3.286266174E0,9.991408589E0
1.974014500E0,8.846154327E0,-3.213667145E0,3.084934845E0,9.904490189E0
1.983955500E0,9.049730988E0,-3.173550568E0,3.197949829E0,1.010920062E1
1.993897500E0,9.098828888E0,-3.028651886E0,3.265160065E0,1.013028576E1
2.003838500E0,9.141639862E0,-2.916235657E0,3.208577728E0,1.011775572E1
2.013779500E0,9.206604767E0,-2.877765656E0,3.316652985E0,1.020016145E1
2.023721500E0,9.135053558E0,-2.915337524E0,3.422482910E0,1.018144320E1
2.033662500E0,9.057664490E0,-2.970273285E0,3.401526489E0,1.012097781E1
2.043604500E0,8.949439545E0,-3.000959473E0,3.398083649E0,1.003220805E1
2.053545500E0,8.847202148E0,-2.888692932E0,3.341351624E0,9.888486405E0
2.063487500E0,8.678952026E0,-3.014132080E0,3.081342316E0,9.690400969E0
2.073428500E0,8.736432495E0,-3.293900299E0,3.094065857E0,9.836070122E0
2.083370500E0,8.764723663E0,-3.213218079E0,3.100801849E0,9.836672376E0
2.093311500E0,8.697962494E0,-3.063080292E0,2.966980133E0,9.687103980E0
2.103253500E0,8.596922607E0,-3.255280609E0,2.933749237E0,9.649394528E0
2.113194500E0,8.569379883E0,-3.214116211E0,3.252286835E0,9.712990489E0
2.123135500E0,8.671317902E0,-3.070115662E0,3.331621857E0,9.783510031E0
2.133077500E0,8.672216034E0,-3.068020020E0,3.285368042E0,9.767994725E0
2.143018500E0,8.612939301E0,-3.127446442E0,3.241509247E0,9.719620715E0
2.152960500E0,8.555608521E0,-3.139271851E0,3.001258850E0,9.594843386E0
2.162901500E0,8.524473267E0,-3.209775238E0,2.968776398E0,9.580341061E0
2.172843500E0,8.484057312E0,-3.298241272E0,2.970123596E0,9.574928623E0
2.182784500E0,8.533304901E0,-3.330424347E0,3.049308929E0,9.654392980E0
2.192726500E0,8.570128326E0,-3.320694580E0,3.098107452E0,9.699091803E0
2.202667500E0,8.587492218E0,-3.305725708E0,3.121009827E0,9.716663388E0
2.212609500E0,8.611891479E0,-3.178639984E0,3.347039795E0,9.770931501E0
2.222550500E0,8.640182648E0,-2.988235931E0,3.452570343E0,9.772540721E0
2.232491500E0,8.559350739E0,-2.923720093E0,3.355871429E0,9.647408838E0
2.242433500E0,8.501421204E0,-3.126997375E0,3.352578278E0,9.658781299E0
2.252374500E0,8.562643890E0,-3.269201660E0,3.487298126E0,9.806518144E0
2.262316500E0,8.622519379E0,-3.192411346E0,3.563339996E0,9.860868246E0
2.272257500E0,8.729696503E0,-3.086282043E0,3.605701904E0,9.936489526E0
2.282199500E0,8.800499268E0,-3.039279785E0,3.723057861E0,1.002732112E1
